id,name,description,category,supersedes,owner,maturity,sourceDoc
,Authorize by crew position,Enforce role-based command authority: which console can send which commands.,Security & IA,,sgreen,baselined,IA-110
,Audit all commanding,Keep a tamper-evident record of every command sent by whom from where.,Security & IA,,sgreen,baselined,IA-120
,Manage cryptographic keys,Load rotate and destroy comsec keys across ground and space segments.,Security & IA,,sgreen,draft,IA-140
,Detect ground intrusion,Alert on suspicious activity across ground segment networks.,Security & IA,,sgreen,draft,
,Sanitize released products,,Security & IA,,htran,concept,
,Train a new console operator,Run guided practice scenarios against a simulated spacecraft.,Ops Support,,htran,draft,TNG-10
,Certify crew proficiency,Track completion of certification requirements per crew position.,Ops Support,,htran,draft,TNG-12
,Rehearse anomaly procedures,Exercise the crew against injected fault scenarios and score the response.,Ops Support,,htran,concept,
,Maintain operational procedures,Author review and version the procedures the crew executes.,Ops Support,,kjones,baselined,OPS-200
,Execute a procedure interactively,Step through an approved procedure with auto-verification of expected telemetry.,Ops Support,,kjones,draft,OPS-210
,Hand over between shifts,Capture shift notes open items and watch conditions for the incoming crew.,Ops Support,,kjones,draft,
,Manage configuration baselines,Track approved versions of ground software databases and spacecraft tables.,Ops Support,,kjones,baselined,CM-3
,Update ground software,Roll out ground segment software updates through test and into operations.,Ops Support,,avolkov,draft,CM-8
,Failover to backup site,Transfer operations to the alternate ops center with minimal contact loss.,Ops Support,,avolkov,draft,COOP-1
UC-041,Plan integrated operations,Merge contact payload and maneuver plans into one deconflicted fleet timeline.,Mission Planning,UC-090;UC-091,avolkov,draft,MP-PLAN-9
,Model what-if scenarios,Branch the operations plan and compare resource impacts before committing.,Mission Planning,,avolkov,concept,
,Publish the daily ops plan,Distribute the approved plan to all consoles and external partners.,Mission Planning,,bfoster,baselined,MP-PLAN-2
,Track plan execution,Mark planned activities complete slipped or failed as the day unfolds.,Mission Planning,,bfoster,draft,MP-PLAN-4
,Replan after an anomaly,Rebuild the remaining daily plan quickly when an anomaly consumes resources.,Mission Planning,,bfoster,draft,
,Forecast resource contention,Project antenna and crew loading weeks ahead to spot bottlenecks.,Mission Planning,,bfoster,concept,MP-PLAN-11
,Onboard a new satellite,Register a new spacecraft its database and its constraints into ground systems.,Fleet Management,,cdiaz,draft,FM-1
,Decommission a satellite,Retire a spacecraft from operations and archive its full history.,Fleet Management,,cdiaz,concept,
,Manage ground station inventory,Track antenna and equipment status maintenance windows and capabilities.,Fleet Management,,cdiaz,baselined,FM-4
,Coordinate external ground time,Request and manage contact time purchased from partner networks.,Fleet Management,,cdiaz,draft,FM-6
,Measure fleet utilization,Report on contact time payload duty cycle and capacity headroom per satellite.,Fleet Management,,nsmith,draft,FM-9
,Support launch and early orbit,Run the intensive contact cadence and checkout sequence after launch.,Fleet Management,,nsmith,baselined,LEOP-1
,Transfer satellite control,Hand a satellite to or from another operations organization with full records.,Fleet Management,,nsmith,concept,
,File and track ops incidents,Report ground segment problems and track them to resolution.,Ops Support,,nsmith,draft,
